   Epoch(us)      Compute          MPI        Total
   2370.0000 10230000000000  10000000000 10240000000000
   2380.0000 10230000000000  10000000000 10240000000000
   2390.0000 10230000000000  10000000000 10240000000000
   2400.0000 10230000000000  10000000000 10240000000000
   2410.0000 10223120936628  16879063372 10240000000000
   2420.0000 10220000000000  20000000000 10240000000000
   2430.0000 10217191069409  22808930591 10240000000000
   2440.0000 8539467236550 1700532763450 10240000000000
   2450.0000 5943738918046 4296261081954 10240000000000
   2460.0000 7849657358923 2390342641077 10240000000000
   2470.0000 10230000000000  10000000000 10240000000000
   2480.0000 10230000000000  10000000000 10240000000000
   2490.0000 10230000000000  10000000000 10240000000000
   2500.0000 10230000000000  10000000000 10240000000000
   2510.0000 10230000000000  10000000000 10240000000000
   2520.0000 10230000000000  10000000000 10240000000000
   2530.0000 10230000000000  10000000000 10240000000000
   2540.0000 10230000000000  10000000000 10240000000000
   2550.0000 10221893477955  18106522045 10240000000000
   2560.0000 10220000000000  20000000000 10240000000000
   2570.0000 10163441487551  76558512449 10240000000000
   2580.0000 4162463137978 6077536862022 10240000000000
   2590.0000 2396197589973 7843802410027 10240000000000
   2600.0000 6756378986965 3483621013035 10240000000000
   2610.0000 10230000000000  10000000000 10240000000000
   2620.0000 10230000000000  10000000000 10240000000000
   2630.0000 10230000000000  10000000000 10240000000000
   2640.0000 10230000000000  10000000000 10240000000000
   2650.0000 10230000000000  10000000000 10240000000000
   2660.0000 10230000000000  10000000000 10240000000000
   2670.0000 10230000000000  10000000000 10240000000000
   2680.0000 10230000000000  10000000000 10240000000000
   2690.0000 10224066245601  15933754399 10240000000000
   2700.0000 10220000000000  20000000000 10240000000000
   2710.0000 10218358525166  21641474834 10240000000000
   2720.0000 8746072775762 1493927224238 10240000000000
   2730.0000 7602217706609 2637782293391 10240000000000
   2740.0000 5119102952785 5120897047215 10240000000000
   2750.0000 10230000000000  10000000000 10240000000000
   2760.0000 10230000000000  10000000000 10240000000000
   2770.0000 10230000000000  10000000000 10240000000000
   2780.0000 10230000000000  10000000000 10240000000000
   2790.0000 10222709520169  17290479831 10240000000000
   2800.0000 10220000000000  20000000000 10240000000000
   2810.0000 10216819290605  23180709395 10240000000000
   2820.0000 2599916271419 7640083728581 10240000000000
   2830.0000 7289339908051 2950660091949 10240000000000
   2840.0000 10230000000000  10000000000 10240000000000
   2850.0000 10230000000000  10000000000 10240000000000
   2860.0000 10230000000000  10000000000 10240000000000
   2870.0000 10230000000000  10000000000 10240000000000
   2880.0000 10230000000000  10000000000 10240000000000
   2890.0000 10230000000000  10000000000 10240000000000
   2900.0000 10229760683665  10239316335 10240000000000
   2910.0000 10220000000000  20000000000 10240000000000
   2920.0000 10220000000000  20000000000 10240000000000
   2930.0000 9452584791648 787415208352 10240000000000
   2940.0000 5463584267783 4776415732217 10240000000000
   2950.0000 3395047023839 6844952976161 10240000000000
   2960.0000 10230000000000  10000000000 10240000000000
   2970.0000 10230000000000  10000000000 10240000000000
   2980.0000 10230000000000  10000000000 10240000000000
   2990.0000 10230000000000  10000000000 10240000000000
   3000.0000 10226958829476  13041170524 10240000000000
   3010.0000 10220000000000  20000000000 10240000000000
   3020.0000 10220000000000  20000000000 10240000000000
   3030.0000 5898289828378 4341710171622 10240000000000
   3040.0000 4394549108659 5845450891341 10240000000000
   3050.0000 10230000000000  10000000000 10240000000000
   3060.0000 10230000000000  10000000000 10240000000000
   3070.0000 10230000000000  10000000000 10240000000000
   3080.0000 10230000000000  10000000000 10240000000000
   3090.0000 10230000000000  10000000000 10240000000000
   3100.0000 10230000000000  10000000000 10240000000000
   3110.0000 10230000000000  10000000000 10240000000000
   3120.0000 10222260655008  17739344992 10240000000000
   3130.0000 10220000000000  20000000000 10240000000000
   3140.0000 10200324811433  39675188567 10240000000000
   3150.0000 6362299996448 3877700003552 10240000000000
   3160.0000 3795019503774 6444980496226 10240000000000
   3170.0000 8180943494612 2059056505388 10240000000000
